"Name", "Stmts", "Miss", "Cover"
"gen_um_test/__init__.py", "9", "0", "100%"
"gen_um_test/core/__init__.py", "9", "0", "100%"
"gen_um_test/core/model/__init__.py", "9", "0", "100%"
"gen_um_test/core/model/cpp_interface.py", "43", "0", "100%"
"gen_um_test/core/model/cpp_method.py", "43", "0", "100%"
"gen_um_test/core/model/generation_result.py", "19", "0", "100%"
"gen_um_test/core/model/test_suite_config.py", "23", "0", "100%"
"gen_um_test/core/service/__init__.py", "9", "0", "100%"
"gen_um_test/core/service/engine.py", "42", "0", "100%"
"gen_um_test/core/service/icmake_generator.py", "14", "0", "100%"
"gen_um_test/core/service/icpp_parser.py", "16", "0", "100%"
"gen_um_test/core/service/ifake_generator.py", "15", "0", "100%"
"gen_um_test/core/service/imock_generator.py", "15", "0", "100%"
"gen_um_test/core/service/iservice.py", "20", "0", "100%"
"gen_um_test/core/service/isubprocessor.py", "14", "0", "100%"
"gen_um_test/core/service/itest_generator.py", "15", "0", "100%"
"gen_um_test/engine.py", "57", "0", "100%"
"gen_um_test/infrastructure/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/cli/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/cli/engine.py", "39", "0", "100%"
"gen_um_test/infrastructure/cli/icli.py", "14", "0", "100%"
"gen_um_test/infrastructure/cli/setup/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/cli/setup/bundle.py", "22", "0", "100%"
"gen_um_test/infrastructure/cli/setup/dep_validator.py", "36", "0", "100%"
"gen_um_test/infrastructure/cli/setup/dependencies.py", "18", "0", "100%"
"gen_um_test/infrastructure/cli/setup/factory.py", "49", "0", "100%"
"gen_um_test/infrastructure/cli/setup/keys.py", "26", "0", "100%"
"gen_um_test/infrastructure/cli/setup/opt_validator.py", "36", "0", "100%"
"gen_um_test/infrastructure/cli/setup/options.py", "15", "0", "100%"
"gen_um_test/infrastructure/cli/setup/registry.py", "24", "0", "100%"
"gen_um_test/infrastructure/cli/setup/validator.py", "43", "0", "100%"
"gen_um_test/infrastructure/command/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/command/cmake_command_definition.py", "24", "0", "100%"
"gen_um_test/infrastructure/command/cmake_command_executor.py", "28", "0", "100%"
"gen_um_test/infrastructure/command/command.py", "16", "0", "100%"
"gen_um_test/infrastructure/command/fake_command_definition.py", "24", "0", "100%"
"gen_um_test/infrastructure/command/fake_command_executor.py", "28", "0", "100%"
"gen_um_test/infrastructure/command/icommand_definition.py", "14", "0", "100%"
"gen_um_test/infrastructure/command/icommand_executor.py", "14", "0", "100%"
"gen_um_test/infrastructure/command/mock_command_definition.py", "24", "0", "100%"
"gen_um_test/infrastructure/command/mock_command_executor.py", "28", "0", "100%"
"gen_um_test/infrastructure/command/suite_command_definition.py", "24", "0", "100%"
"gen_um_test/infrastructure/command/suite_command_executor.py", "28", "0", "100%"
"gen_um_test/infrastructure/command/test_command_definition.py", "24", "0", "100%"
"gen_um_test/infrastructure/command/test_command_executor.py", "28", "0", "100%"
"gen_um_test/infrastructure/generator/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/generator/cmake_generator.py", "32", "0", "100%"
"gen_um_test/infrastructure/generator/code_formatter.py", "28", "0", "100%"
"gen_um_test/infrastructure/generator/fake_generator.py", "57", "0", "100%"
"gen_um_test/infrastructure/generator/main_generator.py", "26", "0", "100%"
"gen_um_test/infrastructure/generator/mock_generator.py", "46", "0", "100%"
"gen_um_test/infrastructure/generator/template_provider.py", "75", "0", "100%"
"gen_um_test/infrastructure/generator/test_generator.py", "68", "0", "100%"
"gen_um_test/infrastructure/parser/__init__.py", "9", "0", "100%"
"gen_um_test/infrastructure/parser/cpp_parser.py", "110", "0", "100%"
"gen_um_test/infrastructure/subprocessor.py", "122", "0", "100%"
"gen_um_test/setup/__init__.py", "9", "0", "100%"
"gen_um_test/setup/bundle.py", "23", "0", "100%"
"gen_um_test/setup/dep_validator.py", "36", "0", "100%"
"gen_um_test/setup/dependencies.py", "19", "0", "100%"
"gen_um_test/setup/factory.py", "58", "0", "100%"
"gen_um_test/setup/keys.py", "27", "0", "100%"
"gen_um_test/setup/opt_validator.py", "36", "0", "100%"
"gen_um_test/setup/options.py", "12", "0", "100%"
"gen_um_test/setup/registry.py", "24", "0", "100%"
"gen_um_test/setup/validator.py", "48", "0", "100%"
"Total", "1908", "0", "100%"
